src,dst,sport,dport,proto,length,danger
2728364010,3232243089,443,54225,6,439,0
3232243089,2728364010,54225,443,6,54,0
3232243089,2658669270,0,0,17,144,0
2658669270,3232243089,0,0,17,132,0
3232243089,2658669270,0,0,17,144,0
3232243089,3232243119,0,0,17,94,0
3232243089,3232243119,0,0,17,94,0
3232243119,3232243089,0,0,17,126,0
2658669270,3232243089,0,0,17,132,0
2728364010,3232243089,443,54225,6,267,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,198,0
2728364010,3232243089,443,54225,6,96,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,96,0
3232243089,2728364010,54225,443,6,54,0
3232243089,3232243119,0,0,17,83,0
3232243089,3232243119,0,0,17,83,0
3232243089,3232243119,0,0,17,83,0
3232243119,3232243089,0,0,17,144,0
3232243119,3232243089,0,0,17,132,0
3232243119,3232243089,0,0,17,181,0
3232243089,580780421,54222,4070,6,854,0
580780421,3232243089,4070,54222,6,109,0
3232243089,580780421,54222,4070,6,54,0
2728364010,3232243089,443,54225,6,237,0
2728364010,3232243089,443,54225,6,100,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,125,0
2728364010,3232243089,443,54225,6,121,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,389,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,471,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,284,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,123,0
3232243089,2728364010,54225,443,6,54,0
2609243716,3232243089,27018,54233,6,148,0
3232243089,2609243716,54233,27018,6,54,0
3232243089,2658669270,0,0,17,144,0
2658669270,3232243089,0,0,17,132,0
3232243089,2658669270,0,0,17,144,0
2658669270,3232243089,0,0,17,132,0
2728364010,3232243089,443,54225,6,127,0
2728364010,3232243089,443,54225,6,144,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,132,0
2728364010,3232243089,443,54225,6,96,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,282,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,241,0
2728364010,3232243089,443,54225,6,99,0
3232243089,2728364010,54225,443,6,54,0
2728364010,3232243089,443,54225,6,327,0
