src_ip,dst_ip,src_port,dst_port,protocol,packet_size,is_malicious
192.168.63.145,172.64.155.209,60614.0,443.0,6.0,55,0
172.64.155.209,192.168.63.145,443.0,60614.0,6.0,66,0
192.168.63.145,192.168.63.255,,,17.0,86,0
192.168.63.145,37.229.181.149,64195.0,53342.0,6.0,170,0
162.159.134.234,192.168.63.145,443.0,60579.0,6.0,103,0
192.168.63.145,162.159.134.234,60579.0,443.0,6.0,54,0
37.229.181.149,192.168.63.145,53342.0,64195.0,6.0,54,0
192.168.63.145,192.168.63.71,,,17.0,71,0
192.168.63.145,192.168.63.71,,,17.0,71,0
192.168.63.145,192.168.63.71,,,17.0,71,0
192.168.63.71,192.168.63.145,,,17.0,147,0
192.168.63.71,192.168.63.145,,,17.0,151,0
192.168.63.71,192.168.63.145,,,17.0,120,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
192.168.63.145,162.159.137.232,,,17.0,124,0
162.159.137.232,192.168.63.145,,,17.0,1242,0
162.159.137.232,192.168.63.145,,,17.0,66,0
192.168.63.145,162.159.137.232,,,17.0,132,0
192.168.63.145,162.159.137.232,,,17.0,87,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
162.159.137.232,192.168.63.145,,,17.0,94,0
162.159.137.232,192.168.63.145,,,17.0,66,0
192.168.63.145,162.159.137.232,,,17.0,1286,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
192.168.63.145,162.159.137.232,,,17.0,249,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
192.168.63.145,162.159.137.232,,,17.0,1286,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
192.168.63.145,162.159.137.232,,,17.0,159,0
192.168.63.145,162.159.137.232,,,17.0,88,0
192.168.63.145,162.159.137.232,,,17.0,86,0
162.159.137.232,192.168.63.145,,,17.0,91,0
192.168.63.145,162.159.137.232,,,17.0,89,0
162.159.137.232,192.168.63.145,,,17.0,64,0
162.159.137.232,192.168.63.145,,,17.0,97,0
162.159.137.232,192.168.63.145,,,17.0,66,0
192.168.63.145,162.159.137.232,,,17.0,85,0
162.159.137.232,192.168.63.145,,,17.0,68,0
162.159.137.232,192.168.63.145,,,17.0,67,0
162.159.137.232,192.168.63.145,,,17.0,68,0
162.159.137.232,192.168.63.145,,,17.0,67,0
162.159.137.232,192.168.63.145,,,17.0,67,0
162.159.137.232,192.168.63.145,,,17.0,72,0
192.168.63.145,162.159.137.232,,,17.0,85,0
162.159.137.232,192.168.63.145,,,17.0,912,0
162.159.137.232,192.168.63.145,,,17.0,880,0
192.168.63.145,162.159.137.232,,,17.0,85,0
192.168.63.145,162.159.137.232,,,17.0,1292,0
192.168.63.145,162.159.137.232,,,17.0,1286,0
192.168.63.145,162.159.137.232,,,17.0,412,0
162.159.137.232,192.168.63.145,,,17.0,66,0
162.159.137.232,192.168.63.145,,,17.0,65,0
162.159.137.232,192.168.63.145,,,17.0,875,0
192.168.63.145,162.159.137.232,,,17.0,86,0
162.159.134.234,192.168.63.145,443.0,60579.0,6.0,117,0
192.168.63.145,162.159.134.234,60579.0,443.0,6.0,54,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,447,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,54,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,223,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,674,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,54,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,143,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,54,0
192.168.63.145,40.74.3.100,,,17.0,103,0
40.74.3.100,192.168.63.145,,,17.0,151,0
192.168.63.145,224.0.0.253,,,17.0,82,0
192.168.63.145,35.186.224.45,60599.0,443.0,6.0,97,0
35.186.224.45,192.168.63.145,443.0,60599.0,6.0,54,0
35.186.224.45,192.168.63.145,443.0,60599.0,6.0,94,0
192.168.63.145,35.186.224.45,60599.0,443.0,6.0,54,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,367,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,367,0
192.168.63.145,162.159.134.234,60579.0,443.0,6.0,108,0
162.159.134.234,192.168.63.145,443.0,60579.0,6.0,54,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,287,0
149.154.167.41,192.168.63.145,443.0,60974.0,6.0,143,0
192.168.63.145,149.154.167.41,60974.0,443.0,6.0,54,0
162.159.134.234,192.168.63.145,443.0,60579.0,6.0,94,0
192.168.63.145,162.159.134.234,60579.0,443.0,6.0,54,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,60964.0,443.0,6.0,136,0
192.168.63.145,35.186.224.24,60964.0,443.0,6.0,93,0
192.168.63.145,35.186.224.24,60964.0,443.0,6.0,559,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,54,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,54,0
35.186.224.24,192.168.63.145,,,17.0,82,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,93,0
35.186.224.24,192.168.63.145,,,17.0,1292,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,54,0
35.186.224.24,192.168.63.145,,,17.0,1292,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,140,0
192.168.63.145,35.186.224.24,60964.0,443.0,6.0,54,0
192.168.63.145,35.186.224.24,,,17.0,205,0
192.168.63.145,35.186.224.24,60964.0,443.0,6.0,93,0
35.186.224.24,192.168.63.145,,,17.0,626,0
35.186.224.24,192.168.63.145,,,17.0,163,0
192.168.63.145,35.186.224.24,,,17.0,73,0
35.186.224.24,192.168.63.145,443.0,60964.0,6.0,54,0
35.186.224.24,192.168.63.145,,,17.0,66,0
192.168.63.145,35.186.224.24,,,17.0,1288,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,1292,0
192.168.63.145,35.186.224.24,,,17.0,199,0
35.186.224.24,192.168.63.145,,,17.0,69,0
35.186.224.24,192.168.63.145,,,17.0,65,0
35.186.224.24,192.168.63.145,,,17.0,65,0
35.186.224.24,192.168.63.145,,,17.0,65,0
35.186.224.24,192.168.63.145,,,17.0,65,0
35.186.224.24,192.168.63.145,,,17.0,261,0
192.168.63.145,35.186.224.24,,,17.0,77,0
192.168.63.145,104.154.127.247,60570.0,4070.0,6.0,853,0
,,,,,42,0
,,,,,42,0
35.186.224.24,192.168.63.145,,,17.0,66,0
104.154.127.247,192.168.63.145,4070.0,60570.0,6.0,109,0
192.168.63.145,104.154.127.247,60570.0,4070.0,6.0,54,0
192.168.63.145,57.128.187.188,60580.0,17301.0,6.0,90,0
57.128.187.188,192.168.63.145,17301.0,60580.0,6.0,90,0
192.168.63.145,57.128.187.188,60580.0,17301.0,6.0,54,0
